date,temperature_2m,relative_humidity_2m,wind_speed_10m,precipitation
2021-07-29,26.50991667,90.23547675,18.93484104,0.6875
2021-07-30,26.75575,87.78967729,22.81123446,0.420833333
2021-07-31,27.09116667,84.38749725,23.58627808,0.3375
2021-01-08,27.29533333,82.90920546,24.94983579,0.5
2021-02-08,27.11616667,85.42984058,24.88326213,0.6625
2021-03-08,27.43491667,82.47636617,24.90569383,0.15
2021-04-08,27.42033333,81.36931579,26.58065608,0.1125
2021-05-08,27.08908333,80.7846295,25.49082229,0.1375
2021-06-08,26.64741667,85.78366883,21.57227925,0.216666667
2021-07-08,26.37866667,89.12196754,20.39440154,0.416666667
2021-08-08,26.65158333,87.74444754,21.41438683,0.245833333
2021-09-08,27.03283333,86.21519612,19.08532929,0.2
2021-10-08,26.94116667,85.74750317,16.77255602,0.179166667
2021-11-08,26.62866667,88.7149,11.68383017,0.158333333
2021-12-08,26.65991667,88.81936121,9.855826458,0.141666667
2021-08-13,26.90991667,87.44519075,10.84167167,0.15
2021-08-14,26.54116667,88.23061517,12.36389778,0.225
2021-08-15,26.60366667,87.21254788,12.15575338,0.175
2021-08-16,26.86408333,85.88345833,13.27103373,0.166666667
2021-08-17,26.68908333,85.65003638,14.04815017,0.170833333
2021-08-18,25.8995,89.8516855,14.05727804,0.429166667
2021-08-19,26.09325,90.2255805,10.29533082,0.2375
2021-08-20,26.46825,88.11583688,7.953125779,0.125
2021-08-21,25.92241667,91.42490125,6.362987904,0.691666667
2021-08-22,25.67658333,93.00054058,7.867159838,0.8625
2021-08-23,25.50575,92.53696958,10.6599613,1.3625
2021-08-24,25.90575,88.22767704,10.96615415,1.354166667
2021-08-25,25.44741667,92.74680042,13.45794094,2.7125
2021-08-26,26.19533333,89.6947665,9.081699838,0.141666667
2021-08-27,26.70575,87.96829413,9.423739942,0.066666667
2021-08-28,26.92658333,89.20270421,8.420246967,0.0625
2021-08-29,26.87658333,87.06837067,9.770371654,0.066666667
2021-08-30,26.62658333,88.54029313,11.53983351,0.154166667
2021-08-31,26.562,88.78532308,8.332268512,0.075
2021-01-09,26.56825,87.45338629,7.647242817,0.0375
2021-02-09,27.02241667,85.56457775,6.906633667,0.033333333
2021-03-09,26.50783333,89.12698117,9.225347717,0.575
2021-04-09,25.96408333,90.86594,11.54538573,1.958333333
2021-05-09,26.362,90.45639312,16.46708933,0.570833333
2021-06-09,26.612,89.01656604,18.06666381,0.279166667
2021-07-09,26.15366667,91.19346504,13.47867173,0.616666667
2021-08-09,26.44533333,91.02299138,10.84970004,0.720833333
2021-09-09,26.2245,90.8571095,9.0643528,0.366666667
2021-10-09,26.65158333,89.03106117,10.66537928,0.454166667
2021-11-09,26.10575,92.71154925,6.401502604,4.895833333
2021-12-09,26.66616667,88.60884717,26.08338704,2.379166667
2021-09-13,26.80991667,88.57079679,22.98066704,0.333333333
2021-09-14,26.73908333,88.47195504,20.57407413,0.404166667
